
  VITE v5.4.21  ready in 245 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://172.50.13.159:5173/
2:11:17 PM [vite] hmr update /src/App.jsx
2:11:52 PM [vite] hmr update /src/App.jsx
2:12:13 PM [vite] hmr update /src/App.jsx
2:12:59 PM [vite] hmr update /src/App.jsx
2:13:46 PM [vite] hmr update /src/App.jsx
2:13:53 PM [vite] hmr update /src/App.jsx
2:14:34 PM [vite] hmr update /src/App.jsx
2:14:46 PM [vite] hmr update /src/components/SystemStatus.jsx
2:15:12 PM [vite] hmr update /src/components/SystemStatus.jsx
2:16:03 PM [vite] hmr update /src/components/SystemStatus.jsx
2:16:08 PM [vite] hmr update /src/components/SystemStatus.jsx
2:16:26 PM [vite] hmr update /src/components/users/UserManagementDashboard.jsx
2:16:37 PM [vite] hmr update /src/components/users/PermissionMatrix.jsx
2:18:14 PM [vite] hmr update /src/components/auth/SplitScreenAuth.jsx
2:26:51 PM [vite] hmr update /src/App.jsx
2:27:33 PM [vite] hmr update /src/App.jsx
2:28:23 PM [vite] hmr update /src/App.jsx
2:29:03 PM [vite] hmr update /src/App.jsx
2:29:17 PM [vite] hmr update /src/App.jsx
2:30:16 PM [vite] hmr update /src/App.jsx
2:30:31 PM [vite] hmr update /src/App.jsx
10:11:24 AM [vite] hmr update /src/App.jsx
10:11:24 AM [vite] hmr update /src/App.jsx
10:29:06 AM [vite] hmr update /src/App.jsx
11:18:41 AM [vite] hmr update /src/App.jsx
11:18:41 AM [vite] hmr update /src/App.jsx
